,DoByDidandDo,NobyTten,NobyNotando,ThebyToandThe,UponbyOnandUpon
TheSecondpartofKingHenrytheSixthACTIII,0.6451612903225806,0.03341584158415842,0.35064935064935066,0.6027777777777777,0.46511627906976744
TheSecondpartofKingHenrytheSixthACTIV,0.75,0.02540106951871658,0.30158730158730157,0.6220472440944882,0.2903225806451613
TheSecondpartofKingHenrytheSixthACTV,0.7272727272727273,0.029498525073746312,0.30303030303030304,0.48554913294797686,0.3076923076923077
TheTamingoftheShrewACTI,0.9,0.03648068669527897,0.2833333333333333,0.4174757281553398,0.3076923076923077
TheTamingoftheShrewACTII,0.625,0.034482758620689655,0.2727272727272727,0.46616541353383456,0.13333333333333333
TheTamingoftheShrewACTIII,0.6666666666666666,0.026402640264026403,0.21621621621621623,0.5238095238095238,0.18181818181818182
TheTamingoftheShrewACTIV,0.6,0.03833333333333333,0.35384615384615387,0.547945205479452,0.45454545454545453
TheTamingoftheShrewACTV,0.7777777777777778,0.019011406844106463,0.19230769230769232,0.4634146341463415,0.4
TheTempestACTI,0.4838709677419355,0.041044776119402986,0.36065573770491804,0.6654545454545454,0.4444444444444444
TheTempestACTII,0.782608695652174,0.048426150121065374,0.3389830508474576,0.6210526315789474,0.55
TheTempestACTIII,0.6785714285714286,0.03676470588235294,0.29411764705882354,0.5606060606060606,0.46153846153846156
TheTempestACTIV,0.875,0.03,0.35294117647058826,0.574468085106383,0.3684210526315789
TheTempestACTV,0.7222222222222222,0.02158273381294964,0.2222222222222222,0.5971223021582733,0.3125
TheThirdpartofKingHenrytheSixthACTI,0.6666666666666666,0.018214936247723135,0.20408163265306123,0.6195652173913043,0.42857142857142855
TheThirdpartofKingHenrytheSixthACTII,0.6923076923076923,0.033527696793002916,0.46,0.6189024390243902,0.4166666666666667
TheThirdpartofKingHenrytheSixthACTIII,0.59375,0.02640845070422535,0.3,0.42028985507246375,0.2777777777777778
TheThirdpartofKingHenrytheSixthACTIV,0.6,0.017889087656529516,0.2127659574468085,0.5665399239543726,0.25
TheThirdpartofKingHenrytheSixthACTV,0.6666666666666666,0.028462998102466792,0.3125,0.648854961832061,0.3333333333333333
TheTragedyofCoriolanusACTI,0.5555555555555556,0.01891891891891892,0.20588235294117646,0.6563245823389021,0.47058823529411764
TheTragedyofCoriolanusACTII,0.6578947368421053,0.030598052851182198,0.29333333333333333,0.6055276381909548,0.5384615384615384
TheTragedyofCoriolanusACTIII,0.8181818181818182,0.027982326951399118,0.2676056338028169,0.6229946524064172,0.4782608695652174
TheTragedyofCoriolanusACTIV,0.6206896551724138,0.02586206896551724,0.2542372881355932,0.6156462585034014,0.4444444444444444
TheTragedyofCoriolanusACTV,0.6,0.03376205787781351,0.30434782608695654,0.5740181268882175,0.5
TheTragedyofHamletPrinceofDenmarkACTI,0.7,0.02843016069221261,0.25,0.5700483091787439,0.5151515151515151
TheTragedyofHamletPrinceofDenmarkACTII,0.5945945945945946,0.03225806451612903,0.3333333333333333,0.6138328530259366,0.3076923076923077
TheTragedyofHamletPrinceofDenmarkACTIII,0.7586206896551724,0.03146853146853147,0.2967032967032967,0.6208425720620843,0.391304347826087
TheTragedyofHamletPrinceofDenmarkACTIV,0.7391304347826086,0.024916943521594685,0.23809523809523808,0.5913978494623656,0.13043478260869565
TheTragedyofHamletPrinceofDenmarkACTV,0.6333333333333333,0.03260869565217391,0.2916666666666667,0.6478494623655914,0.21212121212121213
TheTragedyofMacbethACTI,0.7272727272727273,0.023655913978494623,0.3055555555555556,0.6441947565543071,0.5862068965517241
TheTragedyofMacbethACTII,0.4583333333333333,0.030395136778115502,0.2564102564102564,0.6839378238341969,0.4375
TheTragedyofMacbethACTIII,0.5769230769230769,0.017094017094017096,0.24242424242424243,0.6484375,0.5217391304347826
TheTragedyofMacbethACTIV,0.72,0.03640776699029126,0.29411764705882354,0.680952380952381,0.5454545454545454
TheTragedyofMacbethACTV,0.9090909090909091,0.041791044776119404,0.3684210526315789,0.6483516483516484,0.5217391304347826
TimonofAthensACTI,0.9285714285714286,0.04186046511627907,0.32142857142857145,0.45539906103286387,0.2857142857142857
TimonofAthensACTII,0.7692307692307693,0.06666666666666667,0.4,0.4387755102040816,0.2727272727272727
TimonofAthensACTIII,0.6,0.034013605442176874,0.2631578947368421,0.4807692307692308,0.7777777777777778
TimonofAthensACTIV,0.8095238095238095,0.022181146025878003,0.22641509433962265,0.6679389312977099,0.3793103448275862
TimonofAthensACTV,0.7777777777777778,0.012578616352201259,0.14285714285714285,0.5866666666666667,0.2
TitusAndronicusACTI,0.7647058823529411,0.02575107296137339,0.2857142857142857,0.5391705069124424,0.3333333333333333
TitusAndronicusACTII,0.7,0.022774327122153208,0.2,0.5872340425531914,0.6666666666666666
TitusAndronicusACTIII,0.6470588235294118,0.04722222222222222,0.37777777777777777,0.5,0.391304347826087
TitusAndronicusACTIV,0.8,0.017699115044247787,0.23809523809523808,0.652027027027027,0.4117647058823529
TitusAndronicusACTV,0.7142857142857143,0.03067484662576687,0.40540540540540543,0.5454545454545454,0.16666666666666666
TroilusandCressidaACTI,0.8214285714285714,0.029455081001472753,0.23809523809523808,0.6666666666666666,0.30303030303030304
TroilusandCressidaACTII,0.8148148148148148,0.0471311475409836,0.2875,0.6176470588235294,0.39285714285714285
TroilusandCressidaACTIII,0.9285714285714286,0.018315018315018316,0.17857142857142858,0.5296167247386759,0.5
TroilusandCressidaACTIV,0.8,0.04006968641114982,0.359375,0.5890909090909091,0.3181818181818182
TroilusandCressidaACTV,0.8620689655172413,0.026584867075664622,0.18571428571428572,0.6785714285714286,0.36363636363636365
TwelfthNightACTI,0.7407407407407407,0.053784860557768925,0.35526315789473684,0.5868544600938967,0.2727272727272727
TwelfthNightACTII,0.6551724137931034,0.044897959183673466,0.3384615384615385,0.5787037037037037,0.3157894736842105
TwelfthNightACTIII,0.7555555555555555,0.053208137715179966,0.37362637362637363,0.6058394160583942,0.43333333333333335
TwelfthNightACTIV,0.9,0.0374331550802139,0.25,0.525,0.0
TwelfthNightACTV,0.625,0.017191977077363897,0.1935483870967742,0.5882352941176471,0.5217391304347826
