date,PRC,RET,RETX
19490413,37.375,-0.013201,-0.013201
19490414,36.875,-0.013378,-0.013378
19490416,37.125,0.00678,0.00678
19490418,37.125,0,0
19490419,36.75,-0.010101,-0.010101
19490420,37.25,0.013605,0.013605
19490421,37,-0.006711,-0.006711
19490422,37.125,0.003378,0.003378
19490423,37.25,0.003367,0.003367
19490425,37.125,-0.003356,-0.003356
19490426,37.375,0.006734,0.006734
19490427,37.25,-0.003344,-0.003344
19490428,36.875,-0.010067,-0.010067
19490429,36.875,0,0
19490430,37,0.00339,0.00339
19490502,37.25,0.006757,0.006757
19490503,37.5,0.006711,0.006711
19490504,37.625,0.003333,0.003333
19490505,37.875,0.006645,0.006645
19490506,37.5,-0.009901,-0.009901
19490507,37.375,-0.003333,-0.003333
19490509,37.125,-0.006689,-0.006689
19490510,37.5,0.010101,0.010101
19490511,37.625,0.003333,0.003333
19490512,37.375,-0.006645,-0.006645
19490513,37.5,0.003344,0.003344
19490514,37.375,-0.003333,-0.003333
19490516,37.375,0,0
19490517,37.125,-0.006689,-0.006689
19490518,37.625,0.013468,0.013468
19490519,37.25,-0.009967,-0.009967
19490520,36.75,-0.013423,-0.013423
19490521,36.875,0.003401,0.003401
19490523,36.625,-0.00678,-0.00678
19490524,36.25,-0.010239,-0.010239
19490525,36.125,-0.003448,-0.003448
19490526,36,-0.00346,-0.00346
19490527,35.5,-0.013889,-0.013889
19490531,35.125,-0.010563,-0.010563
19490601,35.25,0.003559,0.003559
19490602,35.125,-0.003546,-0.003546
19490603,35.25,0.003559,0.003559
19490606,35,-0.007092,-0.007092
19490607,34.875,-0.003571,-0.003571
19490608,34.75,-0.003584,-0.003584
19490609,34.75,0,0
19490610,35,0.007194,0.007194
19490613,34.75,-0.007143,-0.007143
19490614,34.875,0.003597,0.003597
19490615,35,0.017921,0.003584
19490616,34.5,-0.014286,-0.014286
19490617,35,0.014493,0.014493
19490620,35.25,0.007143,0.007143
19490621,35.125,-0.003546,-0.003546
19490622,35.25,0.003559,0.003559
19490623,34.5,-0.021277,-0.021277
19490624,34.75,0.007246,0.007246
19490627,34.5,-0.007194,-0.007194
19490628,34.25,-0.007246,-0.007246
19490629,34.25,0,0
19490630,34.75,0.014599,0.014599
19490701,35.25,0.014388,0.014388
19490705,35.125,-0.003546,-0.003546
19490706,35.75,0.017794,0.017794
19490707,35.75,0,0
19490708,36,0.006993,0.006993
19490711,36.25,0.006944,0.006944
19490712,36.25,0,0
19490713,36.875,0.017241,0.017241
19490714,36.875,0,0
19490715,36.75,-0.00339,-0.00339
19490718,36.875,0.003401,0.003401
19490719,37.375,0.013559,0.013559
